   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :1(<module>)
        1    0.000    0.000    0.000    0.000 :1(VersionInfoAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AndValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AttributesAttributes)
        1    0.000    0.000    0.000    0.000 :1(_DeepIterableAttributes)
        1    0.000    0.000    0.000    0.000 :1(_DeepMappingAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InstanceOfValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_IsCallableValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_MatchesReValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_MaxLengthValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_MinLengthValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_NotValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_NumberValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_OptionalValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_ProvidesValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_SubclassOfValidatorAttributes)
       54    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(all)
     1213    0.002    0.000    0.013    0.000 <__array_function__ internals>:177(amax)
       87    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(any)
       54    0.000    0.000    0.005    0.000 <__array_function__ internals>:177(append)
       54    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(argmax)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argmin)
       54    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(argsort)
      178    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(around)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
      334    0.001    0.000    0.003    0.000 <__array_function__ internals>:177(atleast_2d)
       54    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(broadcast_to)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(clip)
      161    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(column_stack)
      614    0.001    0.000    0.009    0.000 <__array_function__ internals>:177(concatenate)
     5226    0.007    0.000    0.030    0.000 <__array_function__ internals>:177(copyto)
      140    0.000    0.000    0.007    0.000 <__array_function__ internals>:177(cumsum)
       55    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(diff)
       54    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
      108    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(flatnonzero)
     1584    0.002    0.000    0.014    0.000 <__array_function__ internals>:177(isneginf)
     1584    0.002    0.000    0.023    0.000 <__array_function__ internals>:177(isposinf)
       33    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(linspace)
      425    0.001    0.000    0.021    0.000 <__array_function__ internals>:177(mean)
      108    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(moveaxis)
     1584    0.004    0.000    0.125    0.000 <__array_function__ internals>:177(nan_to_num)
       51    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
     4266    0.003    0.000    0.017    0.000 <__array_function__ internals>:177(nonzero)
       54    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(norm)
      178    0.001    0.000    0.028    0.000 <__array_function__ internals>:177(pad)
      162    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(ravel)
